"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 06 19:16:30 GMT 2024","Sat Apr 06 19:16:33 GMT 2024","3236","","","","","","DELAYED RESPONSE",""
"passed","Sat Apr 06 19:16:28 GMT 2024","Sat Apr 06 19:16:28 GMT 2024","237","","","","","","CREATE",""
"passed","Sat Apr 06 19:16:27 GMT 2024","Sat Apr 06 19:16:27 GMT 2024","35","","","","","","LIST RESOURCE",""
"passed","Sat Apr 06 19:16:29 GMT 2024","Sat Apr 06 19:16:30 GMT 2024","264","","","","","","LOGIN UNSUCCESFUL",""
"passed","Sat Apr 06 19:16:27 GMT 2024","Sat Apr 06 19:16:27 GMT 2024","277","","","","","","SINGLE USER NOT FOUND",""
"passed","Sat Apr 06 19:16:29 GMT 2024","Sat Apr 06 19:16:29 GMT 2024","233","","","","","","login succesful",""
"passed","Sat Apr 06 19:16:28 GMT 2024","Sat Apr 06 19:16:29 GMT 2024","247","","","","","","DELETE",""
"passed","Sat Apr 06 19:16:27 GMT 2024","Sat Apr 06 19:16:27 GMT 2024","248","","","","","","SINGLE RESOURCE",""
"passed","Sat Apr 06 19:16:28 GMT 2024","Sat Apr 06 19:16:28 GMT 2024","242","","","","","","UPDATE",""
"passed","Sat Apr 06 19:16:28 GMT 2024","Sat Apr 06 19:16:28 GMT 2024","234","","","","","","UPDATE",""
"passed","Sat Apr 06 19:16:29 GMT 2024","Sat Apr 06 19:16:29 GMT 2024","233","","","","","","register un successful",""
"passed","Sat Apr 06 19:16:27 GMT 2024","Sat Apr 06 19:16:27 GMT 2024","143","","","","","","list user",""
"passed","Sat Apr 06 19:16:27 GMT 2024","Sat Apr 06 19:16:28 GMT 2024","286","","","","","","SINGLE RESOURCE NOT FOUND",""
"passed","Sat Apr 06 19:16:27 GMT 2024","Sat Apr 06 19:16:27 GMT 2024","39","","","","","","SINGLE USER",""
"passed","Sat Apr 06 19:16:29 GMT 2024","Sat Apr 06 19:16:29 GMT 2024","270","","","","","","REGISTER",""
